1,0,-0.64615,0,0,0,0,-0.73214,0,0,0,0,0,0,0,0,0,0,0.7519,0,0,0,0.80635,0,0,0,0,0,0,0,0.66004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6978,0,-0.63033,0,0,0,0,0,-0.66443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74098,0.75777,0,0,0,0,0,0,0,0,0,0,0,0,0.66986,0,0,0,0,0.80493,0,0,0,0,0,0.64104,0,0.75909,0,0.88185,0.67836,0,0.69759,0.64543,0.69107,0,0,0,0,0.97703,0,0,0.77537,0,0,0,0,0.76354,0,0,-0.67112,0,-0.67755,0,0,0,0,0.64846,0,0.79421,0,0,0,0,0,0.69142,0,0.92172,0,0.70785,0,0,0.80669,0.77741,0,0,0.9307,0,0,0,0,-0.72134,0,0,0,0,0.79704,0,0,0,0,0,0.71285,0,0.93429,0,0.96485,0,0,0,0,0,0.67018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79631,0,0,0,0,0.71546,0,0,0,0.87532,0,0,0,-0.6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63757,0,0.71274,0,0.75075,0,-0.68305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75886,0.64436,0,-0.73655,0,-0.86138,0,-0.7124,0,0.71223,0,0,0,0,0,0,0.74926,0,0,0.73845,0,0,0,0,0,0.68571,0,0,0,0.68904,0,0,0,0.82229,0,0.79772,0,0.9541,-0.72365,0.88388,0,0.76711,0,0,0.63285,0,0,0.84937,0,0,-0.79056,0,-0.78173,0,0.76267,0,0,0,0,0.81821,0,0,0,0,0,0.79082,0,0,0,0.76369,0,0,0.94747,0.71921,-0.63459,-0.65833,0.94815,0,0,0.8578,0,-0.65739,0,0,0,0.69006,0,-0.69634,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.70006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82605,0,0,0,0,0,0,0,0,0,-0.67693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.88128,0,0,0.78419,-0.66314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85933,0,0,0,0,0,0,0,0,0,0,0.77777,0.65858,0,0,0,0,0,0,0,0,0,0.71157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7275,0,0,0,0,0,0,0.75862,-0.77226,0,0,0,0,0,0,0,-0.63719,0,0,0,0,0,0,0,0,0,-0.66682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83341,0,0,0,0,0
-0.64615,0,1,0.6962,-0.83981,0,0,0.74869,0,0,0,0,0,0.62989,0,0,0,0,0,0,-0.72698,-0.69351,-0.67456,0,0.93205,0,0,0,0.6323,0,0,0,0,0,0,0,0.68863,0,-0.64245,0,-0.87189,0,0.71265,0,0,0.72359,0.68097,0,0,0,0,0,0,0,0,0,0.69181,0.64923,0,0,0,-0.77141,0,0,0,-0.86835,0,0,0,0,-0.91497,-0.86705,0,0.81544,0,0,0,0.82917,0,0,0,-0.66024,-0.72766,0,0,0,-0.94427,0,0,0,0,0,0,0,0,-0.73621,0,0,0,-0.7891,-0.70523,0,0,-0.72684,-0.74674,0,-0.69862,0,0,0,-0.89239,0,-0.91808,0,0,0,0,-0.88833,-0.74189,0,0,-0.90723,0.79572,0,0,0,-0.69739,-0.68006,0,-0.88145,0,-0.69361,-0.79881,0,0,0,0,-0.64613,0,0,-0.75646,-0.70552,0,-0.70081,0,0,0,0.90399,0,0,0,0.84046,-0.72928,0,0,0,0,0,0,0,0,-0.64145,-0.80459,0,-0.80492,0,0,0,0.71864,0,0,0,-0.87521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71754,0,0,0,0,0,0,0.77509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80541,0.80137,0.66338,-0.70891,0,0,0,0,-0.73083,0,-0.69148,0,0,0.7328,0,-0.63224,0,-0.73622,0,0,0,-0.85898,0,0,-0.92431,0,0,-0.90673,0,0,0,0.81225,0,0.89643,0,-0.83343,0,-0.62954,-0.81662,0,0,0,0,0,0,-0.66894,0,0,0,0,0,-0.64338,0,0,0,-0.7393,0,0,0,-0.86721,-0.86158,0,-0.63131,-0.71,0.73972,-0.69282,-0.64452,-0.66382,-0.95229,0,0,0,0,-0.90705,-0.76046,0,0,-0.86447,0,0,-0.74505,0,-0.71807,-0.66275,0,-0.80281,-0.69777,0,0,0,0,0,0,-0.86737,0,-0.67868,0,0,-0.68763,-0.77651,0,0.77014,0,0.89328,0,0,0,0.90459,0,0,0,-0.93874,0,0,0,0.76085,0,0,-0.79024,0,-0.737,0
0,0,0.6962,1,0,0,0,0.65997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7927,0,0,0,0.70538,0,0,0,0,0,0,0,0.79488,0,0,0,0,0.91084,0,-0.65409,0,0,0,0,0,0,0,0.66364,0,0.75541,-0.6615,0,0,0,-0.74381,0,0,-0.92604,0,0,-0.77342,-0.72583,0,0,0,-0.67417,-0.66349,0,0,0,0,0,-0.79117,0,0,0,0,0,-0.71108,-0.81044,0,0,-0.80724,0,0,0,0,0,0,0,0,-0.77906,0,0,0,0,0,0,0,-0.84884,0,0,0,0,0.63088,0,-0.70948,0,-0.79206,0,0,0,0,-0.81202,-0.95654,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.70769,0,0,0,0,0,0,-0.67279,0,0,0,0,-0.74622,0.72676,0,0,-0.72124,0,0,0.84242,-0.89904,0,0,0,0,0,0,0,0.75769,-0.8966,-0.84376,-0.71338,0,-0.85089,0,0,0.90947,0.93105,0,0,-0.66189,0,0,0,0,0,0,0,0,0,0,0,0.79012,0.72909,0,0,0,0,0,0,0,0,0.91975,0,0,0.68831,0,0,0,0,0,0,0,0,0,0.66419,0,0,0.70757,0,0.69389,0,0,0,0,0,-0.72591,0.66167,-0.72683,0,0,0.93637,-0.76006,0,0.69492,-0.89035,0,0,0,-0.63581,0,0,-0.75611,0,0,0,0,0,0,0,0,0,0,-0.65375,0,0,0,0,0,0,0,0,0,-0.67851,0,0,0,0,0,0,-0.79795,0,0,0,0,0,0,-0.73643,0,0,0,0,0,0,0,0,-0.73927,0,0,0,0.79872,-0.67868,-0.86007,0,0,-0.69763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8392,0,0,-0.68053,0.74418,0,0,0,0,0,0,-0.76878,0,-0.76783,0.87027,-0.6681,0,0,-0.77508,0,0,0,0.64579,0.69009,0,-0.85057,-0.67804,0,0
0,0,-0.83981,0,1,0,0,-0.7052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70859,0,0,0,0,0,0,0,0,0.86306,0,0,0,0,0,0,0,0.65622,0,0.7315,0,-0.7722,0,0,-0.64212,0,0,0,0,0,0,0,0,0,0,0,-0.65459,0,0,0,0,0,0,0,0.83325,0,0,0,0,0.88434,0.77608,0,-0.7588,-0.67607,0,0,-0.92251,0,0,0,0,0.76091,0,0,0,0.67708,0.64548,0.69725,0,0,0,0,-0.74406,0,0.64836,0,0,0,0.73225,0.75923,0,0,0,0.76976,0,0,0,0,0,0,0.72719,0.76995,0,0,0,0,0.65081,0,0,-0.71615,0.68708,-0.80169,0,0,0,0,0,0.69636,0.8274,0,0.94451,0.83372,0,0,0,0,0,0,0,0.85068,0.78725,0,0.79965,0,0,0,-0.75732,0,0,0,-0.69526,0,0,0,0,0,0,0,-0.67244,0,0,0.67943,0,0.68943,0,0,0,0,0,0,0,0.67452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.74715,-0.83576,0,0.79556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73893,0,0,0.77091,0,0.73369,0.95562,0,0,0,-0.81166,0,-0.82863,0,0.67681,0,0,0.87265,0,0,0,0,0,0.71572,0.66087,0,0,0,0,0,0.64722,0,0,0,0.68727,0,0,0,0.6966,0.67687,0,0,0,-0.68437,0.63,0.69395,0.73686,0.84456,0,0,0,0,0.69696,0,0,0,0.66818,0,0,0.83845,0,0.634,0.87106,0,0.7083,0,0.78292,0,0,0,0.65027,0,0.71552,0,0,0.71773,0,0.6401,0.86282,0,-0.8648,0,-0.70021,0,0,0,-0.7439,0,0,0,0.74326,0,0,0,0,0,0,0,0,0.85705,0
0,0,0,0,0,1,0.69227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.66137,0,0,-0.75192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.74005,0,-0.64011,0,-0.63646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67625,0,0,0,0,0,0,0.62934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73076,0,0,0,0,0,0,0,0,0,0,0,0,0.72978,0,0,0,0,0,0,0,0,0,-0.77036,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.69227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.73102,0,0,0,0,0,-0.76439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71607,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71708,0,0.82774,0,0,0,0,0,0,0,-0.7514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.87518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72207,0,0,0,0.78502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.67486,0,0,0,0,-0.66039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89817,0,-0.7126,0,0,0,0,0,0,0,-0.7754,0,0,0.70195,0,0,0,0,0,0,0,0
-0.73214,0,0.74869,0.65997,-0.7052,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.65355,0,0,0,0.69766,0,0,0,0,0,0,0,0,0,0,0,0.63612,0,0,0,-0.66253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67621,0,0,0,0,0,-0.69416,0,0,0,-0.84051,0,0,0,0,-0.8512,0,0,0.759,0,0,0,0.81475,0,0,0,0,-0.65508,0,0,0,-0.72291,0,-0.70023,-0.80675,0,0,0,0,0,-0.8556,0,0,0,-0.7487,0,0,0,0,0,0,0,0,0,-0.65566,0,-0.79245,-0.8624,0,0,0,0,-0.74155,0,0,0.71216,-0.6355,0,0.71947,0,0,0,0,0,-0.68276,0,0,-0.88887,0,0,0,0,-0.68073,0,-0.71089,-0.7481,0,0,-0.63414,0,0,0,0,0,0,0,0.88628,-0.66095,0,0,0,0,0,0,0,0,0,-0.8551,0,-0.78261,0,-0.68286,0,0.65472,0.63476,0,0,-0.65999,0,0,0,0,0.64412,0,0,0,0,0,0,0,0.64237,0,0,0,0,0,0,0,0,0,0,-0.73551,0,0,0,0.75952,0,0,0,0,0,0,0.75142,0,-0.67459,0.63096,0,0,0,0,0,0,0,-0.64759,0,-0.8544,0,0,0.80516,0,0,0.6791,-0.73117,0,0,0,-0.82526,0,0,-0.72871,0,-0.81826,-0.73147,0,0.81664,0,0.77459,0,0.85597,0,-0.77025,0,0,-0.63774,0,0,0,0,0,-0.68698,-0.9198,0,0,0,0,0,0,0,0,0,-0.68481,0,0,0,-0.78188,0,0,0,-0.68132,0.70584,-0.72116,-0.7057,-0.83464,-0.82242,0,0,0,0,-0.77275,0,0,0,0,0,0,-0.6468,0,0,0,0,0,0,0,0,0,0,-0.85002,0,-0.84396,0,-0.81038,-0.72999,0.72812,-0.69123,0,0,0.85955,-0.69664,0,0,0,0,0.89142,0,0,0,-0.73335,0,0.73166,0,0.83343,0,-0.76712,0,-0.78045,-0.93199,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.80842,0,0.74165,0,0,0.75384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64799,0,0,0,-0.67488,0.65853,0,0,0,0,0,0,0,0.89142,0,0,-0.80465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68238,0,0,0,0,0,0,0.70672,0,0,0,0,0,0,0,0,0,0,0,0,0.89391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.72289,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.86307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65018,0,0,0,0,0,0,0,0,0,-0.70979,0,0,-0.80899,0,0,0,0,0,0,0,0,0,-0.85958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63072,0,0,0,0,0,0,0.82012,0,0.66423,0,0,0,0,0,0,0.65958,0,0,0.72462,0,0.65198,0,0,0,0,0,0,0,0,0.68383,0,0,0,0,0,0,0,0,-0.63778,0,0,0,0,0,0,0,0.71036,0,0,0,0,0,0.76968,0.69879,0.66782,0.71829,0,0,0,0,0,0,0,0,0,0,0,0,0.66416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0.84315,0,0,0,0,0,0,0,0,0,0,0.66175,0,0.64936,0,0,0,0.71111,0,0.84438,0,0,0.63772,0,0,0.65246,0,0.83395,0.65262,0,0,0,0,0,0,0,0,0,0,0,-0.69473,0,0,0.65247,0,0,0,0,-0.66066,0,0.8266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69415,0,0,0,0,0,0,-0.74885,0,0,0,0,0,0,0,0.82004,0,0,0,0,0.69232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69801,0,0.72902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7697,0,0,0,0,0.71723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0.64573,0,0.93118,0,0,0,0,0,0.76411,0.66662,0.73219,0,0.68942,0,0,0,0,0,0,0,0.84464,0,0,-0.65304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64184,0,0,0,0,0,0,-0.65713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.72636,0,-0.7154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
